software	platform	download-size	description
motus	linux,darwin	14914018	linux/x64
mprocs	linux,darwin,win	1081292	linux/x64
mqttui	linux,darwin,win	2709357	linux/x64
msgvault	linux,darwin,win	40643288	linux/x64
mufetch	linux,darwin,win	3186071	linux/x64
mult	linux,darwin	1986412	linux/x64
musikcube	linux,darwin,win	11001082	linux/x64
nali	linux,darwin,win	4315975	linux/x64
nanobrew	linux,darwin,win	1146051	linux/x64
nap	linux,darwin	2408961	linux/x64
nawk	darwin	58723	macos/x64
ncspot	linux,darwin,win	7902406	linux/x64
neovim	linux,darwin,win	39339	linux/x64
nerdctl	linux,win	11744522	linux/x64
nerdlog	linux,darwin,win	2759827	linux/x64
netshow	linux,darwin,win	17228	whl
netventory	linux,darwin	15996095	linux/x64
netwatch	linux,darwin,win	4367000	linux/x64
new-api	darwin	125698313	macos/arm64
next-ai-draw-io	linux,darwin	725	linux/arm64
nfpm	linux,darwin,win	6612023	linux/x64
nico	linux,darwin	10596352	linux/x64
nika	linux,darwin	17944306	linux/x64
ninja	linux,darwin	126256	linux/arm64
nkt	linux,darwin	2127257	linux/x64
nltk	linux,darwin,win	1798644	whl
nmail	linux,darwin	5576542	linux/x64
nnn	darwin	663378	macos/x64
no-mistakes	linux,darwin,win	14596836	linux/x64
nom	linux,darwin,win	7614141	linux/x64
nono	linux,darwin	12226692	linux/x64
nothing-less	linux,darwin,win	183336	whl
numbat	linux,darwin,win	2844433	linux/x64
nushell	linux,darwin,win	77122755	linux/x64
nv-monitor	linux	21552	linux/x64
obs-studio	linux,darwin,win	452157426	linux/x64
obscura	linux,darwin,win	53823829	linux/x64
obsidian-cli	linux,darwin,win	1931619	linux/x64
octoscope	linux,darwin,win	18706592	linux/x64
oh-my-openagent	linux,darwin	130131144	linux/x64
oh-my-pi	linux,darwin	152307248	linux/x64
oh-my-posh	linux,darwin	14561440	linux/x64
oha	linux,darwin	13429032	linux/x64
okteto	linux,darwin	112472226	linux/x64
ollama	linux,darwin,win	1226720499	linux/x64
omekasy	linux,darwin,win	475485	linux/x64
omm	linux,darwin	7419386	linux/x64
omp-manager	linux,darwin,win	1427337	linux/x64
one-api	darwin	66692416	macos/arm64
onefetch	linux	6432551	linux/arm64
opam	linux,darwin	8945008	linux/x64
open-interpreter	linux,darwin,win	226561345	linux/x64
openapi-tui	linux,darwin,win	6300563	linux/x64
openclaw	darwin	420334248	dmg
opencode	linux,darwin,win	62890346	linux/x64
openfang	linux,darwin,win	26141912	linux/x64
opentofu	linux,darwin,win	34646566	linux/x64
operator-sdk	linux,darwin	106425713	linux/x64
oq	linux,darwin,win	4004585	linux/x64
orbiton	linux,darwin,win	4842816	linux/x64
orca	linux,darwin,win	218811	macos/x64
ord	linux,darwin,win	11635403	linux/x64
ordercli	linux,darwin,win	2882660	linux/x64
oryx	linux	4360520	linux/x64
osquery	linux,darwin,win	84455039	linux/x64
osv-scanner	linux,darwin	57725090	linux/x64
otel-tui	linux,darwin,win	33862269	linux/x64
otp	win	187137781	win/arm64
otree	linux,darwin,win	2496214	linux/x64
otti	linux,darwin,win	1068056	linux/x64
ouch	linux,darwin,win	2695361	linux/x64
outside	linux	4091950	linux/x64
ov	linux,darwin,win	6696595	linux/x64
ox	linux,darwin	6361144	macos/arm64
oxigraph	linux,darwin	22149720	linux/x64
oxker	linux,darwin,win	1945748	linux/x64
oyo	linux,darwin	8801289	linux/x64
oyui	linux,darwin	9131579	linux/x64
packemon	linux,darwin	6293215	linux/x64
pacseek	linux	6288516	linux/x64
pal-mcp-server	linux,darwin,win	406484	whl
pandoc	linux,darwin,win	34940580	linux/x64
papis	linux,darwin,win	314481	whl
parallel-disk-usage	linux,darwin	2183256	linux/x64
parllama	linux,darwin,win	251094	whl
parqeye	linux,darwin,win	13484216	linux/x64
paru	darwin	3589239	macos/x64
pass-cli	linux,darwin,win	4865257	linux/x64
pastel	linux,darwin,win	572067	linux/x64
patat	linux,darwin	15642448	linux/x64
patch-hub	linux	8181760	linux/x64
pdfcpu	linux,darwin,win	5603500	linux/x64
pdm	linux,darwin,win	22194813	linux/x64
peco	linux,darwin,win	1908348	linux/x64
perch	linux,darwin,win	5314914	linux/x64
pgtree	linux	6922	deb
pi	linux,darwin,win	42560927	linux/x64
pierrot	linux,darwin,win	21655681	linux/x64
pigsty	darwin	1737990618	macos/x64
pik	linux,darwin,win	2273656	linux/x64
pikpaktui	linux,darwin,win	3994773	linux/x64
pillager	linux,darwin,win	7271711	linux/x64
pipecd	linux,darwin	23816304	linux/x64
pipeform	linux,darwin,win	2392989	linux/x64
pixi	linux,darwin,win	80304944	linux/x64
pkgx	linux,darwin	4369223	linux/arm64
planor	linux,darwin,win	3288212	linux/x64
pluto	linux,darwin,win	10513234	linux/x64
pnpm	linux,darwin,win	20042472	linux/x64
podliner	linux,darwin	33245763	linux/x64
podman-desktop	darwin	159302	macos/x64
podman	linux,darwin,win	24472587	linux/x64
poetry	linux,darwin,win	293736	whl
poketex	linux,darwin,win	5456004	linux/x64
polaris	linux,darwin,win	15724702	linux/x64
pop	linux,darwin,win	5299034	linux/x64
powerline-go	linux,darwin	2789376	linux/x64
presenterm	linux,darwin,win	3717602	linux/x64
process-compose	linux,darwin,win	15908686	linux/x64
procs	linux,darwin,win	2565746	linux/x64
proot-rs	linux	737732	linux/x64
protobuf-go	linux,darwin,win	2070180	linux/x64
protobuf	linux,darwin	3678715	linux/x64
psutils	linux,darwin,win	55328	whl
psutilsql	linux,darwin,win	5497172	linux/x64
pueue	linux,darwin	2143736	linux/x64
puffin	linux,darwin,win	1345179	linux/x64
pug	linux,darwin,win	3687955	linux/x64
pumas	darwin	613645	macos/arm64
purple	linux,darwin	3339759	linux/x64
pwndbg	linux,darwin	136327032	macos/x64
pylint	linux,darwin,win	540709	whl
pytest	linux,darwin,win	386536	whl
q	linux,darwin,win	4344635	linux/x64
qdrant	linux,darwin,win	32172790	linux/x64
qpdf	linux,darwin	4040061	linux/x64
qq	linux,darwin,win	25798218	linux/x64
qrc	linux,darwin,win	873914	linux/x64
qrcp	linux,darwin,win	4295200	linux/x64
qrtool	linux,darwin,win	2009421	linux/x64
qshell	linux,darwin,win	16099869	linux/x64
qt-creator	linux,darwin	173130328	linux/x64
quien	linux,darwin,win	4855196	linux/x64
quokka	darwin	4739032	macos/x64
rage	linux,darwin,win	5188611	linux/x64
rainfrog	linux,darwin,win	23440062	linux/x64
rbac-lookup	linux,darwin,win	11965423	linux/x64
rclone	linux,darwin,win	31470505	linux/x64
reader	linux,darwin,win	10222465	linux/x64
rebels-in-the-sky	linux,darwin,win	9737827	linux/x64
reddix	linux,darwin,win	4368608	linux/x64
redu	linux,darwin,win	1944442	linux/x64
repowise	linux,darwin,win	4933448	whl
reqlog	linux,darwin,win	2409630	linux/x64
resterm	linux,darwin	87527689	linux/x64
restic	linux,darwin,win	10107515	linux/x64
reviewdog	linux,darwin,win	4512428	linux/x64
revive	linux,darwin,win	4513569	linux/x64
rexi	linux,darwin,win	7225	whl
rgx	linux,darwin,win	1427348	linux/x64
rio	linux,darwin,win	17903337	dmg
ripgrep-all	linux,darwin	8375790	linux/x64
ripgrep	linux,darwin,win	2265718	linux/x64
rke	linux,darwin	69608971	linux/x64
roff	linux,darwin,win	249064	linux/x64
roumon	linux,darwin,win	2294901	linux/x64
rovr	linux,darwin,win	32647071	linux/x64
rpi-imager	linux,darwin	6753	macos/x64
rsyncy	linux,darwin,win	1983090	linux/x64
rtk	linux,darwin,win	4616651	linux/x64
rucola	linux,darwin,win	1901436	linux/x64
ruff	linux,darwin,win	9926956	linux/x64
rum	linux,darwin,win	1784002	linux/x64
rumdl	linux,darwin,win	7085835	linux/x64
runal	linux,darwin,win	5712421	linux/x64
rura	linux,darwin,win	1270744	linux/x64
rusticon	linux,darwin,win	1617936	linux/arm64
rustnet	linux,darwin,win	2871518	linux/x64
rustormy	linux,darwin,win	3875470	linux/arm64
rye	linux,darwin	7751325	linux/x64
s3cmd	linux,darwin,win	164998	whl
s5cmd	linux,darwin,win	4623467	linux/arm64
sag	darwin	5716980	macos/x64
sake	linux,darwin,win	3164212	linux/x64
sampler	linux,darwin	5587072	linux/x64
scala-cli	linux,darwin,win	45737764	linux/x64
scala	linux,win	136990928	msi
scaleway-cli	linux,darwin	56225952	linux/x64
scap-workbench	darwin	109148594	dmg
scc	linux,darwin,win	7016834	linux/x64
sclient	linux,darwin,win	1756672	linux/x64
scooter	linux,darwin,win	3972699	linux/x64
scorecard	linux,darwin,win	26474049	linux/x64
sd	linux,darwin,win	988815	linux/x64
sealed-secrets	linux,darwin,win	23363469	linux/x64
semantica	linux,darwin,win	2485303	whl
semverator	linux,darwin,win	1054605	linux/x64
serie	linux,darwin	1596078	linux/x64
serpl	linux,darwin,win	2355829	linux/x64
sgpt	linux,darwin,win	8437097	linux/x64
sh	linux,darwin	3571872	linux/x64
shadowsocks-rust	linux,darwin,win	13523068	linux/x64
sheets	linux,darwin,win	1497711	linux/x64
shell_gpt	linux,darwin,win	30214	whl
shellcheck	linux,darwin	3773312	linux/x64
sidecar	linux,darwin	18586877	linux/x64
sig	linux,darwin,win	1167004	linux/x64
siggy	linux,darwin,win	6834190	linux/x64
sigye	linux,darwin,win	2151405	linux/x64
silk	linux,darwin,win	469280	linux/x64
simple-http-server	linux,darwin	3254168	linux/x64
simtool	darwin	9920012	macos/arm64
sing-box	linux	107361806	deb
skaffold	linux,darwin	130036968	linux/x64
skate	linux,darwin,win	4768710	linux/x64
skillspector	linux,darwin,win	537041	whl
slick-deploy	linux,darwin,win	3688669	linux/x64
slides	linux,darwin	5256819	linux/x64
slim	linux	28229068	linux/arm64
slumber	linux,darwin,win	7333736	linux/x64
smartcat	linux,darwin,win	2322540	linux/x64
smartmontools	darwin	1619514	dmg
smassh	linux,darwin	19539648	linux/arm64
snipt	linux,darwin	2035865	linux/x64
snitch	linux,darwin	3724898	linux/x64
so	linux,darwin	6296657	linux/x64
soft-serve	linux,darwin,win	11097783	linux/x64
sonobuoy	linux,darwin,win	25428672	linux/x64
sonoscli	linux,darwin	4304481	linux/x64
sops	linux,darwin	52121762	linux/x64
sou	linux,darwin,win	3685063	linux/x64
soundscope	linux,darwin,win	1365840	linux/x64
spotify-tui	linux,darwin,win	3639800	linux/arm64
sq	linux,darwin,win	41329756	linux/x64
sqlean	linux,darwin	657318	linux/x64
sqlfmt	linux,darwin,win	72726	whl
sqlpkg-cli	linux,darwin,win	2765714	linux/x64
sqly	linux,darwin,win	13098186	linux/x64
squall	linux,darwin,win	11705	whl
squeez	linux	2056992	linux/x64
squix	linux,darwin	113020696	linux/x64
srgn	linux,darwin,win	4844685	linux/x64
ssh-list	linux,darwin,win	781255	linux/x64
ssh3	linux,darwin,win	10674089	linux/x64
ssm	linux,darwin	11417004	linux/x64
stack	linux,darwin,win	94141872	linux/x64
starship	linux,darwin,win	5115170	linux/x64
std-ai	linux,darwin,win	4483690	linux/x64
steamfetch	linux,darwin,win	6376790	linux/x64
stern	linux,darwin,win	14144343	linux/x64
stew	linux,darwin,win	3824642	linux/x64
stormy	linux,darwin,win	2507433	linux/x64
strace-tui	linux	1044333	linux/x64
sttr	linux,darwin,win	3135552	linux/x64
stu	linux,darwin	9631965	linux/x64
sunbeam	linux,darwin	10469123	linux/x64
sup	linux,darwin	5889057	linux/x64
superfile	linux,darwin,win	13490110	linux/x64
surge	linux,darwin,win	6344760	linux/x64
swaptop	linux,win	847809	linux/x64
syncthing	linux,darwin	11782578	linux/x64
systemctl-tui	linux	1954423	linux/x64
systeroid	linux	2643533	linux/x64
syswatch	linux,darwin	1278883	linux/x64
t-rec-rs	linux,darwin	2678714	linux/x64
tabby	linux,darwin	1342	linux/x64
tabiew	linux,darwin	76691112	linux/x64
tailspin	linux,darwin,win	1407130	linux/x64
talhelper	linux,darwin,win	19512943	linux/x64
talos	linux,darwin	118284450	linux/x64
taproom	darwin	6124808	macos/x64
tasktimer	linux,darwin,win	7036831	linux/x64
taskwarrior-tui	linux,darwin,win	7532791	linux/x64
tatuin	linux,darwin,win	8181061	linux/x64
taws	linux,darwin,win	3894620	linux/x64
tcping	linux,darwin,win	4430100	linux/x64
tcpterm	linux	8087360	linux/x64
tealdeer	linux,darwin	3572672	linux/x64
tegratop	linux	2113712	linux/arm64
tenere	linux,darwin	8745320	linux/x64
tere	linux,win	1231697	linux/x64
termframe	linux,darwin,win	6817813	linux/x64
termpicker	linux,darwin,win	2255270	linux/x64
termscp	linux,darwin,win	26169752	linux/x64
termshark	linux,darwin,win	6144299	linux/x64
tetrigo	linux,darwin,win	3788322	linux/x64
tf-controller	linux,darwin	14354549	linux/x64
tgpt	linux,darwin	16203938	linux/x64
tgt	linux,darwin,win	19429999	linux/x64
threatdeck	linux,darwin	10175952	linux/x64
ticker	linux,darwin,win	3524786	linux/x64
tickrs	linux,darwin,win	4694040	linux/x64
tiki	linux,darwin,win	11233823	linux/x64
timoni	linux,darwin,win	21221242	linux/x64
tintin	win	4488704	msi
tiny	linux	1485341	linux/arm64
tinygo	linux,darwin,win	184946240	linux/x64
tldx	linux,darwin,win	5337361	linux/x64
tlrc	linux,darwin,win	1464394	linux/x64
tmuxwatch	linux,darwin,win	1788732	linux/x64
toast	linux,darwin	2332448	linux/x64
tock	linux,darwin	5216959	linux/x64
tone	linux,darwin	22932667	linux/x64
tonnage	linux,darwin,win	12324131	linux/x64
toofan	linux,darwin,win	1376493	linux/x64
topgrade	linux,darwin,win	6317320	linux/x64
tori-cli	linux,darwin	15278264	linux/x64
torrra	linux,darwin	45252680	linux/x64
tproxy	linux,darwin,win	4459216	linux/x64
tracexec	linux	4149753	linux/x64
trashy	linux	2540391	linux/x64
trdsql	linux,darwin,win	10419941	linux/x64
tre	linux,darwin,win	801776	linux/x64
tredis	linux,darwin,win	4099586	linux/x64
treemd	linux,darwin,win	5432753	linux/x64
trippy	linux,darwin,win	3592031	linux/x64
triton-inference-server	linux	1036952051	linux/x64
try-rs	linux	574634	linux/x64
trzsz-go	linux,darwin,win	6512961	linux/x64
ttyd	darwin	1362040	macos/x64
ttyper	linux,darwin,win	854949	linux/x64
tufw	linux	1463552	linux/x64
tui-journal	linux,darwin	3740004	linux/arm64
tuime	linux,darwin,win	1879788	linux/x64
tuios	linux,darwin,win	11150222	linux/x64
tuistash	linux,darwin,win	3177212	linux/x64
tun2brook	linux,darwin	29429912	linux/x64
tunasync	linux	31285949	linux/x64
turm	linux	1660617	linux/x64
tv	linux,darwin,win	2951394	macos/x64
twig	linux,darwin,win	2523106	linux/x64
typioca	linux,darwin	9392388	linux/x64
typos	linux,darwin,win	8209954	linux/x64
typst	linux,darwin,win	17462992	linux/x64
typtea	linux,darwin,win	1520883	linux/x64
tz	linux,darwin,win	1489970	linux/x64
ucloud-cli	linux,darwin,win	6890523	linux/x64
ugm	linux	4063394	linux/x64
updo	linux,darwin	18931896	linux/x64
upx	linux,win	664048	linux/x64
usql	darwin	55490997	macos/x64
uuinfo	linux,darwin,win	966120	linux/x64
uv	linux,darwin,win	19339402	linux/x64
v2	linux,darwin	21856418	linux/x64
vale	linux,darwin,win	11736086	linux/arm64
vcluster	linux,darwin	114630818	linux/x64
vegeta	linux,darwin,win	4309032	linux/x64
velad	linux,darwin,win	434429529	linux/x64
velero	linux,darwin,win	57663385	linux/x64
vi-mongo	linux,darwin,win	6137080	linux/x64
viddy	linux,darwin,win	3623684	linux/x64
vifm	linux,darwin	5914	macos/x64
visualvm	darwin	25139982	dmg
vivid	linux,darwin,win	454840	linux/x64
voicebox	darwin,win	541912096	macos/x64
volta	linux,darwin,win	9783242	linux/arm64
vortix	linux,darwin	2729292	linux/x64
vscli	linux,darwin,win	2402980	linux/x64
vscodium	linux,darwin,win	11406269	linux/x64
vultr-cli	linux,darwin,win	3979963	linux/x64
wabt	linux,darwin,win	5076269	linux/x64
wakatime-cli	linux,darwin,win	7632352	linux/x64
wakey	linux,darwin	13436093	linux/x64
walk	linux,darwin	11788887	linux/x64
wasm-tools	linux,darwin,win	5936212	linux/x64
wasmer	linux,darwin,win	305975317	linux/x64
wasmtime	linux,darwin,win	16041804	linux/x64
watchexec	linux,darwin,win	65	linux/x64
weaviate	linux,darwin	72971528	linux/x64
websocat	linux,darwin	7845504	linux/x64
wezterm	linux,darwin,win	169488	linux/arm64
wg-cmd	linux	11225831	linux/x64
whatsapp-cli	linux,darwin,win	11836106	linux/x64
whisper.cpp	linux,darwin,win	9503425	linux/x64
whosthere	linux,darwin,win	6819939	linux/x64
wifitui	linux,darwin	2607369	linux/x64
wiki-tui	linux,darwin,win	3631151	linux/arm64
wikiman	linux	5195796	linux/arm64
wintui	win	2881770	win/x64
wiper	linux,darwin	1550834	linux/x64
wireman	linux,darwin,win	4518652	linux/x64
wisu	linux,darwin,win	1491926	linux/x64
witr	linux,darwin,win	7897272	linux/x64
wordgrinder	linux	1727264	linux/arm64
wrkflw	linux,darwin,win	5710448	linux/x64
ws4sqlite	linux,darwin	10476973	linux/x64
wtf	linux,darwin	22512571	linux/x64
wuzz	linux,darwin	10738719	linux/x64
xan	linux,darwin,win	7040336	linux/x64
xfr	linux,darwin	4556620	linux/x64
xh	linux,darwin,win	4609532	linux/x64
xlings	linux,darwin,win	41027764	linux/x64
xlsxsql	linux,darwin,win	8319293	linux/x64
xmake	linux,darwin,win	2830624	linux/x64
xpdig	linux,darwin,win	11224677	linux/x64
xplr	linux,darwin	2742960	linux/arm64
xsv	linux,darwin,win	7161869	linux/x64
xxd	linux,darwin,win	9130	linux/x64
yai	linux,darwin,win	5930602	linux/x64
yarn	linux,win	1671168	msi
yatto	linux,darwin,win	6171876	linux/x64
yay	darwin	4922909	macos/x64
yazi	linux,darwin,win	14397810	linux/x64
yewtube	linux,darwin,win	118314	whl
you-get	linux,darwin,win	189588	whl
yozefu	linux,darwin,win	15113769	linux/x64
yq	linux,darwin,win	14180512	linux/x64
yt-dlp	linux,darwin	40446224	linux/arm64
ytm-player	linux,darwin,win	327164	whl
ytop	linux,darwin	1705788	linux/x64
ytt	linux,darwin	17960640	linux/x64
yubikey-manager	linux,darwin,win	22396928	msi
zeit	linux,darwin,win	6468352	linux/x64
zellij	linux,darwin,win	14961925	linux/x64
zenith	linux,darwin	1037494	linux/x64
zerobrew	linux,darwin	12088664	linux/x64
zf	linux,darwin	605512	linux/x64
zigfetch	linux,darwin	1443467	linux/x64
zola	linux,darwin,win	14750973	linux/x64
zoro	linux,darwin	16105624	linux/x64
zoxide	linux,darwin,win	591384	linux/x64
zrok	linux,darwin,win	32508044	linux/x64
zstd	win	1766722	win/arm64
