software	platform	download-size	description
chess-tui	linux,darwin,win	2891647	linux/x64
chezmoi	linux,darwin,win	41134344	linux/x64
chiko	linux,darwin,win	5796216	linux/x64
chisel	linux,darwin,win	4724737	linux/x64
chmod-cli	linux,darwin,win	1550131	linux/x64
chsrc	linux,darwin	1234160	linux/x64
cidr-merger	linux,darwin	1462272	linux/x64
cidr	linux,darwin,win	1643991	linux/x64
circleci-cli	linux,darwin,win	15398668	linux/x64
circumflex	linux,darwin	12179655	linux/x64
clanker	darwin	51348304	macos/x64
claude-code-router	linux,darwin	130513	macos/x64
claude-code	linux,darwin,win	93558551	linux/x64
claude-gym	linux,darwin,win	1791666	linux/x64
claude-squad	linux,darwin,win	1895464	linux/x64
claws	linux,darwin,win	15673294	linux/x64
cliamp	linux,darwin,win	36675288	linux/x64
clifm	linux	770188	linux/x64
clin-rs	linux,darwin,win	6010492	linux/x64
clipse	linux,darwin	3547531	linux/x64
clog-cli	linux,darwin	1555950	linux/x64
cloudflare-speed-cli	linux,darwin,win	3338220	linux/x64
cmdperf	linux,darwin	8937656	linux/x64
cocogitto	linux,darwin,win	3203483	linux/x64
code2prompt	linux,darwin	20660712	linux/x64
codegraph	linux,darwin,win	61943882	linux/x64
codex	linux,darwin,win	3874445	linux/x64
cointop	linux,darwin	7444926	linux/x64
colima	linux,darwin	16160826	linux/x64
comrak	linux,darwin	3811592	linux/x64
conan	linux,darwin,win	27682366	linux/x64
concord	linux,darwin,win	9798476	linux/x64
conductor	linux,darwin,win	1364458	whl
conftest	linux,darwin,win	21978520	linux/x64
connor	linux,darwin,win	14873558	linux/x64
convco	linux,darwin,win	2700739	linux/x64
copilot-cli	linux,darwin,win	91269605	linux/x64
copper	linux,darwin	17225669	linux/x64
coredns	linux,darwin,win	23066544	linux/x64
cosign	linux,darwin	141178250	linux/x64
countryfetch	linux,darwin,win	11911728	linux/x64
coursier	linux,darwin,win	23342510	linux/x64
cppman	linux,darwin,win	886112	whl
cpufetch	linux,darwin	939384	linux/arm64
crates-tui	linux,darwin,win	3427140	linux/x64
cri-tools	linux,darwin,win	19539425	linux/x64
croc	linux,darwin,win	10139924	linux/x64
cronboard	linux,darwin,win	46577	whl
crush	linux,darwin,win	28577920	linux/x64
csvi	linux,darwin,win	1477624	linux/x64
csvlens	linux,darwin,win	2180892	linux/x64
ctlptl	linux,darwin,win	16422859	linux/x64
ctop	linux,darwin,win	13606047	linux/x64
ctx	linux,darwin	51923904	linux/x64
cue	linux,darwin,win	6069226	linux/x64
cueitup	linux,darwin	4438940	linux/x64
cull	linux,darwin,win	1735697	linux/x64
curlie	linux,darwin,win	1099430	linux/x64
cy	linux,darwin	9722372	linux/x64
cyme	linux	3212202	linux/arm64
dagger	linux,darwin,win	21945735	linux/x64
darktable	linux,darwin	304930	macos/x64
dart-sass	linux,darwin,win	4454400	linux/x64
darya	linux,darwin	1468608	linux/x64
dasel	linux,darwin,win	10477730	linux/x64
datree	linux,darwin,win	18900104	linux/x64
datui	linux,darwin,win	24275524	macos/x64
dawn	linux,darwin,win	744634	linux/x64
daylight	linux,darwin,win	2934885	linux/x64
dblab	linux,darwin,win	12235619	linux/x64
dcv	linux,darwin,win	6283054	linux/x64
ddev	linux,darwin,win	18924388	linux/x64
ddh	linux,darwin	1079944	linux/x64
ddv	linux,darwin	6309268	linux/x64
deadend-cli	linux,darwin	40556673	linux/x64
dealve-tui	linux,darwin	2643528	linux/x64
delta	linux,darwin,win	3337309	linux/x64
deno	linux,darwin,win	41582794	linux/x64
depsguard	linux,darwin,win	279014	linux/x64
desktop	linux,darwin,win	109482964	linux/x64
determined	linux,darwin	10722995	linux/x64
devspace	linux,darwin	71782584	linux/x64
devzat	linux,darwin	22552841	linux/x64
dexios	linux,darwin	2669200	linux/x64
didyoumean	linux,darwin	2077487	linux/x64
diffnav	linux,darwin,win	3325933	linux/x64
difftastic	linux,darwin,win	11850389	linux/x64
dify	linux,darwin	103021613	linux/x64
digger	linux,darwin,win	85689121	linux/x64
direnv	linux,darwin,win	8151224	linux/x64
dirsearch	linux,darwin,win	50724752	linux/x64
diskonaut	linux	1449810	linux/arm64
diskus	linux,darwin,win	430450	linux/x64
diskusage	linux,darwin,win	3531298	linux/x64
dive	linux,darwin,win	4026656	linux/x64
dnote	linux,darwin,win	9254037	linux/x64
dns53	linux,darwin,win	8834504	linux/x64
dnspyre	linux,darwin,win	18496154	linux/x64
docfd	linux,darwin	5236156	linux/arm64
docker-slim	linux	28229068	linux/arm64
dockle	linux,darwin	7785144	linux/arm64
doctave	linux,darwin,win	3950409	linux/x64
doctl	linux,darwin,win	18449475	linux/x64
docuum	linux,darwin	3599632	linux/x64
dog	linux,darwin,win	298210	linux/x64
doggo	linux,darwin,win	5852262	linux/x64
domain-check	linux,darwin,win	1832657	linux/x64
dooit	linux,darwin	33197856	linux/arm64
dotenv-linter	linux,darwin	1814637	linux/x64
dotstate	linux,darwin	9662451	linux/x64
doxx	linux,darwin,win	6912576	linux/x64
doxygen	linux,darwin,win	47535142	win/x64
dprint	linux,darwin,win	9937948	linux/x64
dra	linux,darwin,win	1487688	linux/x64
draft	linux,darwin	97626538	linux/x64
drive	linux,darwin	15865376	linux/arm64
dry	linux,darwin,win	19447970	linux/x64
dstask	linux,darwin	9257144	linux/x64
dstp	linux,darwin,win	2074614	linux/x64
duckdb	linux,darwin	22334749	linux/x64
duf	linux,darwin,win	1285584	linux/x64
dufs	linux,darwin,win	2898409	linux/x64
dug	linux,darwin	68718241	linux/x64
dusage	linux	416758	linux/x64
dust	linux,darwin,win	1192709	linux/x64
dyff	linux,darwin,win	4098051	linux/x64
e1s	linux,darwin,win	9554721	linux/x64
e2c	linux,darwin	11759800	linux/x64
easy-rsa	win	4027654	win/arm64
ec	linux,darwin	4092196	linux/x64
ecscope	linux,darwin	3505468	linux/x64
eddy	linux,darwin,win	1895982	linux/x64
eget	linux,darwin,win	2790733	linux/x64
eightctl	linux,darwin	4802113	linux/x64
elio	linux,darwin,win	6736839	linux/x64
endcord	linux,darwin,win	52026652	macos/x64
envsubst	linux,darwin	2537379	linux/x64
epiq	linux,darwin	141036736	linux/x64
erldash	linux,darwin	2818392	linux/x64
etcd	linux,darwin,win	23893634	linux/x64
evo	linux,darwin	463440	linux/x64
exa	linux,darwin	900205	linux/x64
eza	linux,win	1243074	linux/x64
ezcheck	linux,darwin,win	505654	linux/x64
fastfetch	linux,darwin,win	1726925	linux/x64
fclones	linux,win	1965008	linux/x64
fd	linux,darwin,win	1513869	linux/x64
fend	linux,darwin,win	2655890	linux/x64
ffsend	linux	11742776	linux/x64
